id;global_score;agregate_count;tourist-atraction;opinion
1;8;903;Sagrada Familia;I love it
2;1;933;Hotel Wella;I don't like it
3;7;211;Park Güell;I love it
4;3;485;Hotel Wella;I hate it
5;1;915;Sagrada Familia;I don't like it
6;4;484;Park Güell;I don't like it
7;9;839;Hotel Wella;I like it
8;3;287;Park Güell;I hate it
9;9;315;Sagrada Familia;I love it
10;3;930;Sagrada Familia;I don't like it
11;3;749;Park Güell;I don't like it
12;10;731;Sagrada Familia;I love it
13;9;404;Sagrada Familia;I love it
14;5;751;Park Güell;I love it
15;4;973;Sagrada Familia;I don't like it
16;5;279;Hotel Wella;I love it
17;10;12;Park Güell;I love it
18;10;455;Sagrada Familia;I like it
19;3;402;Hotel Wella;I hate it
20;5;440;Hotel Wella;I love it
21;4;766;Park Güell;I hate it
22;7;642;Hotel Wella;I love it
23;6;743;Park Güell;I love it
24;5;840;Sagrada Familia;I like it
25;3;654;Sagrada Familia;I hate it
26;1;637;Hotel Wella;I hate it
27;6;138;Park Güell;I love it
28;7;86;Sagrada Familia;I like it
29;7;352;Park Güell;I like it
30;2;402;Hotel Wella;I don't like it
31;3;551;Sagrada Familia;I don't like it
32;9;297;Park Güell;I like it
33;1;982;Park Güell;I hate it
34;7;140;Park Güell;I like it
35;9;320;Hotel Wella;I love it
36;5;925;Hotel Wella;I like it
37;4;936;Park Güell;I don't like it
38;9;57;Park Güell;I love it
39;6;690;Sagrada Familia;I like it
40;2;100;Sagrada Familia;I hate it
41;3;985;Hotel Wella;I don't like it
42;1;919;Sagrada Familia;I hate it
43;8;416;Park Güell;I like it
44;1;844;Park Güell;I don't like it
45;6;958;Park Güell;I like it
46;9;981;Sagrada Familia;I like it
47;1;479;Hotel Wella;I hate it
48;10;293;Sagrada Familia;I like it
49;5;811;Hotel Wella;I love it
50;2;289;Hotel Wella;I don't like it
51;9;835;Park Güell;I like it
52;5;816;Park Güell;I love it
53;6;627;Sagrada Familia;I love it
54;10;382;Hotel Wella;I like it
55;5;1000;Park Güell;I like it
56;8;429;Park Güell;I like it
57;1;320;Sagrada Familia;I hate it
58;6;653;Hotel Wella;I love it
59;10;549;Park Güell;I love it
60;6;649;Sagrada Familia;I love it
61;8;181;Hotel Wella;I love it
62;7;80;Park Güell;I love it
63;7;367;Park Güell;I like it
64;7;849;Sagrada Familia;I like it
65;4;800;Sagrada Familia;I don't like it
66;3;254;Sagrada Familia;I don't like it
67;9;268;Hotel Wella;I love it
68;6;33;Park Güell;I like it
69;2;334;Sagrada Familia;I hate it
70;7;254;Park Güell;I love it
71;1;887;Sagrada Familia;I don't like it
72;3;83;Park Güell;I don't like it
73;6;807;Sagrada Familia;I like it
74;10;938;Sagrada Familia;I like it
75;6;563;Park Güell;I love it
76;1;992;Sagrada Familia;I hate it
77;5;772;Sagrada Familia;I love it
78;4;560;Park Güell;I hate it
79;10;687;Sagrada Familia;I love it
80;1;367;Park Güell;I don't like it
81;3;881;Sagrada Familia;I hate it
82;9;636;Park Güell;I love it
83;2;759;Park Güell;I don't like it
84;5;745;Hotel Wella;I love it
85;8;442;Park Güell;I like it
86;9;790;Hotel Wella;I love it
87;6;648;Sagrada Familia;I like it
88;9;217;Sagrada Familia;I like it
89;7;952;Park Güell;I like it
90;7;674;Park Güell;I love it
91;3;810;Hotel Wella;I don't like it
92;4;202;Park Güell;I don't like it
93;4;831;Park Güell;I hate it
94;7;267;Park Güell;I like it
95;4;937;Sagrada Familia;I hate it
96;3;660;Park Güell;I hate it
97;6;496;Park Güell;I love it
98;6;971;Hotel Wella;I love it
99;1;418;Park Güell;I don't like it
100;3;223;Sagrada Familia;I don't like it
101;10;569;Hotel Wella;I love it
102;3;913;Hotel Wella;I hate it
103;8;817;Hotel Wella;I love it
104;7;286;Sagrada Familia;I like it
105;1;720;Hotel Wella;I don't like it
106;1;592;Hotel Wella;I hate it
107;4;617;Hotel Wella;I hate it
108;8;384;Sagrada Familia;I love it
109;9;205;Hotel Wella;I love it
110;8;799;Park Güell;I like it
111;6;40;Park Güell;I love it
112;4;770;Hotel Wella;I don't like it
113;7;234;Park Güell;I like it
114;7;766;Park Güell;I love it
115;3;669;Hotel Wella;I hate it
116;2;42;Sagrada Familia;I don't like it
117;4;820;Park Güell;I don't like it
118;6;185;Park Güell;I like it
119;6;971;Hotel Wella;I like it
120;3;641;Sagrada Familia;I hate it
121;4;377;Hotel Wella;I don't like it
122;10;223;Sagrada Familia;I love it
123;3;981;Park Güell;I hate it
124;3;545;Sagrada Familia;I hate it
125;4;804;Sagrada Familia;I don't like it
126;8;164;Sagrada Familia;I love it
127;4;375;Park Güell;I hate it
128;4;449;Park Güell;I don't like it
129;4;407;Sagrada Familia;I don't like it
130;6;107;Park Güell;I like it
131;2;552;Hotel Wella;I hate it
132;1;898;Hotel Wella;I don't like it
133;6;580;Park Güell;I like it
134;4;276;Hotel Wella;I hate it
135;4;689;Hotel Wella;I hate it
136;6;630;Sagrada Familia;I love it
137;4;135;Hotel Wella;I hate it
138;4;648;Park Güell;I hate it
139;6;197;Sagrada Familia;I love it
140;1;266;Hotel Wella;I don't like it
141;6;597;Hotel Wella;I like it
142;3;561;Park Güell;I don't like it
143;2;782;Hotel Wella;I don't like it
144;10;38;Sagrada Familia;I love it
145;5;282;Hotel Wella;I love it
146;7;80;Sagrada Familia;I like it
147;3;680;Park Güell;I hate it
148;10;593;Hotel Wella;I love it
149;8;483;Hotel Wella;I love it
150;9;881;Park Güell;I love it
151;10;193;Sagrada Familia;I like it
152;6;939;Park Güell;I love it
153;5;782;Hotel Wella;I love it
154;4;739;Park Güell;I don't like it
155;1;64;Hotel Wella;I hate it
156;9;206;Park Güell;I like it
157;4;572;Park Güell;I hate it
158;9;581;Park Güell;I love it
159;7;757;Park Güell;I love it
160;1;740;Sagrada Familia;I don't like it
161;6;403;Park Güell;I like it
162;5;478;Park Güell;I love it
163;9;335;Park Güell;I love it
164;8;637;Park Güell;I love it
165;2;222;Hotel Wella;I don't like it
166;8;78;Hotel Wella;I like it
167;7;261;Sagrada Familia;I like it
168;8;894;Park Güell;I love it
169;1;297;Park Güell;I hate it
170;5;291;Park Güell;I love it
171;3;606;Sagrada Familia;I don't like it
172;7;434;Park Güell;I like it
173;6;642;Hotel Wella;I like it
174;5;702;Park Güell;I love it
175;1;735;Park Güell;I hate it
176;3;574;Park Güell;I don't like it
177;8;707;Sagrada Familia;I like it
178;7;983;Hotel Wella;I like it
179;5;853;Hotel Wella;I love it
180;3;110;Hotel Wella;I hate it
181;6;555;Park Güell;I like it
182;5;351;Park Güell;I love it
183;6;991;Sagrada Familia;I love it
184;9;331;Sagrada Familia;I love it
185;2;415;Park Güell;I don't like it
186;4;901;Park Güell;I hate it
187;4;164;Park Güell;I hate it
188;4;453;Park Güell;I hate it
189;9;285;Hotel Wella;I like it
190;6;583;Park Güell;I love it
191;6;435;Hotel Wella;I like it
192;2;39;Hotel Wella;I hate it
193;8;491;Hotel Wella;I love it
194;3;431;Hotel Wella;I don't like it
195;2;825;Park Güell;I hate it
196;10;353;Hotel Wella;I like it
197;8;690;Park Güell;I love it
198;9;379;Park Güell;I love it
199;7;437;Hotel Wella;I like it
200;3;588;Sagrada Familia;I hate it
201;3;970;Sagrada Familia;I hate it
202;2;615;Park Güell;I hate it
203;8;732;Sagrada Familia;I love it
204;5;48;Park Güell;I like it
205;3;378;Hotel Wella;I hate it
206;6;75;Sagrada Familia;I love it
207;2;870;Park Güell;I hate it
208;1;302;Sagrada Familia;I don't like it
209;7;100;Sagrada Familia;I love it
210;5;316;Hotel Wella;I love it
211;1;518;Hotel Wella;I hate it
212;2;800;Park Güell;I don't like it
213;4;832;Sagrada Familia;I hate it
214;2;220;Park Güell;I hate it
215;5;224;Sagrada Familia;I love it
216;1;495;Hotel Wella;I hate it
217;9;834;Park Güell;I like it
218;1;385;Hotel Wella;I hate it
219;1;179;Hotel Wella;I don't like it
220;4;137;Park Güell;I don't like it
221;6;392;Hotel Wella;I like it
222;10;283;Hotel Wella;I love it
223;9;876;Hotel Wella;I love it
224;5;5;Park Güell;I like it
225;2;5;Hotel Wella;I hate it
226;6;671;Hotel Wella;I like it
227;4;975;Park Güell;I hate it
228;1;88;Hotel Wella;I don't like it
229;5;494;Hotel Wella;I like it
230;5;484;Sagrada Familia;I like it
231;9;98;Sagrada Familia;I love it
232;5;73;Park Güell;I like it
233;1;114;Sagrada Familia;I don't like it
234;3;972;Hotel Wella;I don't like it
235;4;966;Park Güell;I hate it
236;6;934;Sagrada Familia;I love it
237;10;59;Hotel Wella;I love it
238;7;101;Park Güell;I love it
239;7;431;Park Güell;I like it
240;10;311;Park Güell;I love it
241;8;440;Hotel Wella;I love it
242;7;25;Sagrada Familia;I like it
243;7;423;Park Güell;I love it
244;3;326;Hotel Wella;I don't like it
245;8;181;Sagrada Familia;I love it
246;10;47;Hotel Wella;I like it
247;7;241;Hotel Wella;I like it
248;10;537;Sagrada Familia;I love it
249;1;762;Sagrada Familia;I don't like it
250;2;3;Sagrada Familia;I hate it
251;9;89;Sagrada Familia;I like it
252;7;178;Park Güell;I love it
253;7;583;Hotel Wella;I love it
254;8;160;Hotel Wella;I like it
255;1;84;Park Güell;I hate it
256;10;361;Hotel Wella;I like it
257;8;859;Sagrada Familia;I love it
258;10;440;Park Güell;I like it
259;10;946;Sagrada Familia;I love it
260;3;606;Hotel Wella;I don't like it
261;4;889;Park Güell;I don't like it
262;10;85;Hotel Wella;I like it
263;1;158;Park Güell;I hate it
264;10;546;Hotel Wella;I like it
265;3;247;Park Güell;I don't like it
266;2;617;Sagrada Familia;I don't like it
267;8;950;Park Güell;I love it
268;3;304;Sagrada Familia;I hate it
269;8;1000;Sagrada Familia;I like it
270;6;450;Hotel Wella;I love it
271;4;526;Park Güell;I don't like it
272;1;769;Sagrada Familia;I don't like it
273;9;615;Sagrada Familia;I like it
274;3;899;Sagrada Familia;I hate it
275;9;892;Hotel Wella;I like it
276;6;493;Hotel Wella;I like it
277;9;361;Park Güell;I like it
278;9;674;Sagrada Familia;I like it
279;6;644;Hotel Wella;I like it
280;10;456;Hotel Wella;I like it
281;1;540;Park Güell;I hate it
282;9;574;Sagrada Familia;I like it
283;10;785;Hotel Wella;I love it
284;2;911;Hotel Wella;I hate it
285;8;294;Hotel Wella;I like it
286;8;372;Sagrada Familia;I love it
287;10;159;Park Güell;I like it
288;8;79;Park Güell;I love it
289;6;825;Sagrada Familia;I love it
290;4;571;Hotel Wella;I hate it
291;1;266;Hotel Wella;I hate it
292;6;440;Hotel Wella;I like it
293;2;575;Park Güell;I hate it
294;4;466;Sagrada Familia;I don't like it
295;1;733;Park Güell;I don't like it
296;8;484;Sagrada Familia;I like it
297;6;88;Park Güell;I love it
298;9;612;Sagrada Familia;I like it
299;3;684;Sagrada Familia;I don't like it
300;1;722;Sagrada Familia;I don't like it
301;9;761;Park Güell;I love it
302;4;631;Sagrada Familia;I don't like it
303;3;95;Park Güell;I hate it
304;1;335;Hotel Wella;I don't like it
305;6;762;Hotel Wella;I like it
306;6;121;Hotel Wella;I love it
307;3;928;Sagrada Familia;I don't like it
308;1;986;Hotel Wella;I don't like it
309;3;510;Park Güell;I don't like it
310;8;831;Hotel Wella;I love it
311;1;341;Hotel Wella;I don't like it
312;9;89;Hotel Wella;I love it
313;1;76;Hotel Wella;I hate it
314;2;386;Sagrada Familia;I don't like it
315;6;896;Park Güell;I like it
316;6;457;Park Güell;I like it
317;2;292;Park Güell;I hate it
318;4;6;Sagrada Familia;I don't like it
319;4;70;Park Güell;I don't like it
320;2;156;Park Güell;I don't like it
321;3;658;Park Güell;I don't like it
322;6;235;Sagrada Familia;I like it
323;8;626;Park Güell;I love it
324;5;706;Sagrada Familia;I like it
325;3;433;Hotel Wella;I don't like it
326;4;137;Park Güell;I don't like it
327;7;249;Park Güell;I love it
328;1;312;Park Güell;I don't like it
329;10;413;Hotel Wella;I like it
330;9;511;Hotel Wella;I like it
331;7;665;Hotel Wella;I like it
332;2;35;Park Güell;I don't like it
333;3;536;Sagrada Familia;I don't like it
334;8;125;Hotel Wella;I love it
335;3;844;Hotel Wella;I don't like it
336;1;521;Sagrada Familia;I hate it
337;5;191;Sagrada Familia;I love it
338;3;27;Sagrada Familia;I don't like it
339;5;6;Hotel Wella;I like it
340;4;382;Park Güell;I don't like it
341;6;956;Hotel Wella;I love it
342;3;503;Sagrada Familia;I hate it
343;7;428;Park Güell;I love it
344;1;519;Hotel Wella;I hate it
345;9;855;Park Güell;I love it
346;6;633;Sagrada Familia;I love it
347;2;309;Sagrada Familia;I don't like it
348;9;404;Park Güell;I like it
349;6;684;Park Güell;I love it
350;6;933;Park Güell;I like it
351;10;323;Park Güell;I love it
352;6;556;Hotel Wella;I love it
353;1;997;Hotel Wella;I hate it
354;1;742;Hotel Wella;I don't like it
355;5;16;Sagrada Familia;I love it
356;10;864;Sagrada Familia;I love it
357;3;460;Sagrada Familia;I hate it
358;5;746;Sagrada Familia;I like it
359;8;322;Park Güell;I love it
360;10;838;Hotel Wella;I love it
361;2;465;Park Güell;I hate it
362;7;365;Park Güell;I like it
363;6;919;Hotel Wella;I like it
364;9;857;Sagrada Familia;I love it
365;3;239;Hotel Wella;I don't like it
366;4;829;Park Güell;I hate it
367;7;577;Park Güell;I love it
368;10;581;Hotel Wella;I like it
369;5;679;Hotel Wella;I like it
370;10;607;Sagrada Familia;I like it
371;8;34;Sagrada Familia;I love it
372;2;776;Sagrada Familia;I hate it
373;9;849;Sagrada Familia;I love it
374;4;108;Park Güell;I hate it
375;9;457;Sagrada Familia;I love it
376;3;540;Sagrada Familia;I hate it
377;10;12;Hotel Wella;I love it
378;6;883;Sagrada Familia;I love it
379;9;944;Sagrada Familia;I like it
380;2;168;Hotel Wella;I don't like it
