id;global_score;agregate_count;tourist-atraction;opinion;sentiment
1;8;903;Sagrada Familia;I love it;0.5
2;1;933;Hotel Wella;I don't like it;0.0
3;7;211;Park Güell;I love it;0.5
4;3;485;Hotel Wella;I hate it;-0.8
5;1;915;Sagrada Familia;I don't like it;0.0
6;4;484;Park Güell;I don't like it;0.0
7;9;839;Hotel Wella;I like it;0.0
8;3;287;Park Güell;I hate it;-0.8
9;9;315;Sagrada Familia;I love it;0.5
10;3;930;Sagrada Familia;I don't like it;0.0
11;3;749;Park Güell;I don't like it;0.0
12;10;731;Sagrada Familia;I love it;0.5
13;9;404;Sagrada Familia;I love it;0.5
14;5;751;Park Güell;I love it;0.5
15;4;973;Sagrada Familia;I don't like it;0.0
16;5;279;Hotel Wella;I love it;0.5
17;10;12;Park Güell;I love it;0.5
18;10;455;Sagrada Familia;I like it;0.0
19;3;402;Hotel Wella;I hate it;-0.8
20;5;440;Hotel Wella;I love it;0.5
21;4;766;Park Güell;I hate it;-0.8
22;7;642;Hotel Wella;I love it;0.5
23;6;743;Park Güell;I love it;0.5
24;5;840;Sagrada Familia;I like it;0.0
25;3;654;Sagrada Familia;I hate it;-0.8
26;1;637;Hotel Wella;I hate it;-0.8
27;6;138;Park Güell;I love it;0.5
28;7;86;Sagrada Familia;I like it;0.0
29;7;352;Park Güell;I like it;0.0
30;2;402;Hotel Wella;I don't like it;0.0
31;3;551;Sagrada Familia;I don't like it;0.0
32;9;297;Park Güell;I like it;0.0
33;1;982;Park Güell;I hate it;-0.8
34;7;140;Park Güell;I like it;0.0
35;9;320;Hotel Wella;I love it;0.5
36;5;925;Hotel Wella;I like it;0.0
37;4;936;Park Güell;I don't like it;0.0
38;9;57;Park Güell;I love it;0.5
39;6;690;Sagrada Familia;I like it;0.0
40;2;100;Sagrada Familia;I hate it;-0.8
41;3;985;Hotel Wella;I don't like it;0.0
42;1;919;Sagrada Familia;I hate it;-0.8
43;8;416;Park Güell;I like it;0.0
